village,ticket_1,vote_1,ticket_2,vote_2
臺南縣安定鄉,10305,59.16%,7112,40.83%
臺南縣新市鄉,11354,57.90%,8254,42.09%
臺南縣山上鄉,2701,57.06%,2032,42.93%
臺南縣新化鎮,12588,49.69%,12743,50.30%
臺南縣左鎮鄉,1814,52.53%,1639,47.46%
臺南縣南化鄉,2191,42.13%,3009,57.86%
臺南縣永康市,57165,48.49%,60711,51.50%
臺南縣仁德鄉,21510,52.31%,19608,47.68%
臺南縣歸仁鄉,20917,56.64%,16012,43.35%
臺南縣關廟鄉,12482,56.85%,9471,43.14%
臺南縣龍崎鄉,1639,56.57%,1258,43.42%
高雄縣桃源鄉,220,10.34%,1907,89.65%
高雄縣三民鄉,267,16.56%,1345,83.43%
高雄縣甲仙鄉,1897,41.75%,2646,58.24%
高雄縣六龜鄉,4301,53.69%,3709,46.30%
高雄縣茂林鄉,93,9.76%,859,90.23%
高雄縣杉林鄉,2980,48.25%,3196,51.74%
高雄縣內門鄉,4552,48.38%,4856,51.61%
高雄縣旗山鎮,12438,52.95%,11052,47.04%
高雄縣美濃鎮,11692,46.45%,13476,53.54%
高雄縣阿蓮鄉,9906,57.47%,7330,42.52%
高雄縣田寮鄉,3397,62.61%,2028,37.38%
高雄縣燕巢鄉,9754,53.04%,8634,46.95%
高雄縣大社鄉,11341,57.37%,8424,42.62%
高雄縣大樹鄉,15497,58.67%,10913,41.32%
高雄縣茄萣鄉,9984,55.32%,8062,44.67%
高雄縣湖內鄉,9410,55.21%,7631,44.78%
高雄縣路竹鄉,15739,50.63%,15344,49.36%
高雄縣永安鄉,4258,51.73%,3973,48.26%
高雄縣岡山鎮,26678,47.36%,29648,52.63%
高雄縣彌陀鄉,6321,50.28%,6249,49.71%
高雄縣梓官鄉,12999,57.90%,9450,42.09%
高雄縣橋頭鄉,13710,60.31%,9020,39.68%
高雄縣仁武鄉,22433,55.85%,17727,44.14%
高雄縣鳥松鄉,13303,51.20%,12678,48.79%
高雄縣大寮鄉,34082,53.23%,29944,46.76%
高雄縣林園鄉,22719,57.25%,16958,42.74%
高雄縣鳳山市,93929,46.91%,106274,53.08%
屏東縣里港鄉,9288,60.34%,6103,39.65%
屏東縣高樹鄉,9850,62.84%,5823,37.15%
屏東縣三地門鄉,480,11.87%,3562,88.12%
屏東縣霧臺鄉,238,14.33%,1422,85.66%
屏東縣九如鄉,8556,63.63%,4889,36.36%
屏東縣鹽埔鄉,7096,46.51%,8160,53.48%
屏東縣長治鄉,9263,51.93%,8572,48.06%
屏東縣內埔鄉,18059,54.71%,14947,45.28%
屏東縣瑪家鄉,388,10.71%,3232,89.28%
屏東縣泰武鄉,252,9.35%,2441,90.64%
屏東縣竹田鄉,6508,57.38%,4832,42.61%
屏東縣萬巒鄉,7742,59.71%,5223,40.28%
