town,ticket_1,ticket_2,distance,rank
新竹縣關西鎮,6396,11566,15.4607,187
嘉義縣中埔鄉,14972,10727,15.6003,188
嘉義縣民雄鄉,23395,16769,15.6111,189
彰化縣竹塘鄉,4885,3504,15.6215,190
桃園縣龍潭鄉,22057,40027,15.6494,191
臺南市南區,44122,31541,15.7121,192
新北市石碇區,2680,1910,15.7416,193
高雄市六龜區,4475,3164,16.054,194
新竹縣竹北市,26837,49423,16.0844,195
嘉義縣番路鄉,3875,2730,16.1364,196
基隆市暖暖區,7027,13040,16.1513,197
屏東縣長治鄉,10478,7399,16.2066,198
高雄市旗山區,13569,9532,16.2829,199
嘉義縣梅山鄉,6924,4858,16.2999,200
高雄市燕巢區,10870,7611,16.3962,201
臺北市大安區,62918,116778,16.4275,202
高雄市大寮區,36974,25819,16.4898,203
宜蘭縣壯圍鄉,8228,5752,16.5023,204
彰化縣溪州鄉,9863,6838,16.7214,205
屏東縣新埤鄉,3632,2511,16.7879,206
臺東縣臺東市,18455,34748,16.7956,207
雲林縣四湖鄉,7318,5043,17.0038,208
澎湖縣望安鄉,743,511,17.0131,209
嘉義縣東石鄉,9247,6287,17.3463,210
雲林縣土庫鎮,9627,6523,17.4676,211
嘉義縣太保市,11955,8087,17.5235,212
嘉義縣義竹鄉,7762,5264,17.5966,213
新竹縣新豐鄉,9604,18683,17.7932,214
屏東縣枋寮鄉,8768,5896,17.8822,215
新竹縣寶山鄉,2753,5428,18.0868,216
高雄市湖內區,10340,6870,18.0951,217
基隆市信義區,9635,19170,18.3262,218
宜蘭縣員山鄉,10835,7122,18.5308,219
雲林縣崙背鄉,8414,5519,18.576,220
嘉義縣竹崎鄉,12780,8346,18.6607,221
雲林縣古坑鄉,10984,7147,18.8115,222
雲林縣大埤鄉,6892,4433,19.1555,223
臺東縣太麻里鄉,1904,3885,19.3622,224
屏東縣內埔鄉,19736,12652,19.3959,225
臺南市龍崎區,1702,1079,19.6017,226
高雄市仁武區,26354,16714,19.645,227
高雄市茄萣區,10961,6942,19.6576,228
宜蘭縣五結鄉,13568,8613,19.6748,229
新北市永和區,44601,92803,19.8504,230
新北市坪林區,2400,1512,19.9231,231
屏東縣萬丹鄉,19045,12031,19.9466,232
嘉義縣朴子市,14676,9131,20.2984,233
新北市新店區,56603,120865,20.648,234
新北市貢寮區,4806,2960,20.6561,235
宜蘭縣冬山鄉,18495,11320,20.8357,236
高雄市大社區,12410,7575,20.867,237
新竹縣北埔鄉,1833,3969,20.8832,238
臺南市歸仁區,23581,14323,21.0829,239
苗栗縣公館鄉,6049,13188,21.1034,240
臺北市文山區,49403,107668,21.3126,241
宜蘭縣三星鄉,7483,4484,21.5061,242
花蓮縣壽豐鄉,2952,6538,21.6267,243
臺南市安南區,62894,37401,21.7616,244
屏東縣東港鎮,16765,10015,21.8022,245
臺南市關廟區,13714,8124,21.8734,246
新竹縣芎林鄉,3737,8382,21.9528,247
屏東縣南州鄉,4301,2546,22.0892,248
高雄市阿蓮區,10942,6416,22.23,249
屏東縣麟洛鄉,4520,2657,22.2389,250
南投縣信義鄉,2478,5589,22.3165,251
雲林縣北港鎮,14323,8356,22.3684,252
屏東縣竹田鄉,7064,4145,22.3701,253
臺南市左鎮區,1968,1146,22.4406,254
嘉義縣鹿草鄉,6491,3769,22.6079,255
雲林縣元長鄉,9320,5401,22.6537,256
臺東縣關山鎮,1331,3046,22.7123,257
高雄市梓官區,14308,8208,22.8981,258
屏東縣林邊鄉,7514,4340,22.9505,259
高雄市林園區,24478,14045,22.955,260
高雄市大樹區,16733,9581,23.0346,261
雲林縣西螺鎮,16216,9289,23.0469,262
新竹縣湖口鄉,12402,28891,23.0768,263
澎湖縣七美鄉,301,689,23.1485,264
苗栗縣大湖鄉,2571,6000,23.1588,265
臺南市山上區,2893,1652,23.1804,266
臺南市善化區,15975,9007,23.5122,267
臺中市和平區,1627,3905,23.6868,268
雲林縣莿桐鄉,10925,6082,23.8844,269
高雄市橋頭區,14851,8264,23.9059,270
屏東縣車城鄉,3115,1739,23.9096,271
苗栗縣三義鄉,2985,7139,23.9297,272
臺南市新市區,12811,7086,24.1214,273
苗栗縣造橋鄉,2315,5616,24.3066,274
臺南市佳里區,21721,11921,24.3448,275
屏東縣崁頂鄉,5544,3049,24.5041,276
花蓮縣吉安鄉,11812,29230,24.6822,277
高雄市旗津區,10854,5903,24.727,278
花蓮縣富里鄉,1410,3513,24.7496,279
臺南市東山區,7739,4154,24.9538,280
花蓮縣鳳林鎮,1728,4319,24.9979,281
屏東縣佳冬鄉,7887,4238,25.2281,282
花蓮縣花蓮市,15264,38513,25.2299,283
屏東縣枋山鄉,2135,1139,25.4326,284
花蓮縣瑞穗鄉,1616,4103,25.5339,285
苗栗縣三灣鄉,1232,3116,25.5761,286
屏東縣萬巒鄉,8222,4304,26.043,287
臺南市安定區,11678,6054,26.2407,288
苗栗縣獅潭鄉,803,2088,26.3186,289
新竹縣橫山鄉,2288,6064,26.4778,290
雲林縣口湖鄉,9673,4946,26.5184,291
花蓮縣玉里鎮,3142,8351,26.6391,292
屏東縣里港鄉,9882,5043,26.7448,293
苗栗縣頭屋鄉,1908,5060,26.8772,294
臺南市下營區,9866,4999,26.9719,295
苗栗縣銅鑼鄉,2972,7955,27.0423,296
臺南市柳營區,8593,4283,27.2813,297
臺東縣東河鄉,1086,2974,27.5089,298
臺南市六甲區,8786,4335,27.6606,299
苗栗縣西湖鄉,1211,3334,27.8121,300
苗栗縣頭份鎮,14321,39774,28.0052,301
臺南市北門區,4592,2244,28.0552,302
臺南市白河區,11493,5565,28.2413,303
苗栗縣苗栗市,13557,37971,28.2993,304
臺東縣大武鄉,713,2029,28.6959,305
