town,vote_1,vote_2,distance,rank
高雄市苓雅區,47.15%,52.84%,7.9196,116
新北市蘆洲區,47.22%,52.77%,8.0186,117
彰化縣二水鄉,47.22%,52.77%,8.0186,118
彰化縣埤頭鄉,47.35%,52.64%,8.2024,119
高雄市岡山區,47.36%,52.63%,8.2166,120
南投縣南投市,35.67%,64.32%,8.3156,121
彰化縣芬園鄉,47.57%,52.42%,8.5136,122
新北市石門區,35.46%,64.53%,8.6126,123
彰化縣鹿港鎮,47.67%,52.32%,8.655,124
新北市汐止區,35.39%,64.60%,8.7116,125
臺中市神岡區,47.75%,52.24%,8.7681,126
彰化縣芳苑鄉,47.85%,52.14%,8.9095,127
苗栗縣苑裡鎮,47.95%,52.04%,9.051,128
臺中市外埔區,34.92%,65.07%,9.3762,129
高雄市杉林區,48.25%,51.74%,9.4752,130
高雄市內門區,48.38%,51.61%,9.6591,131
臺南市永康區,48.49%,51.50%,9.8146,132
宜蘭縣羅東鎮,48.52%,51.47%,9.8571,133
基隆市七堵區,34.57%,65.42%,9.8712,134
臺北市松山區,34.53%,65.46%,9.9278,135
新北市三芝區,34.44%,65.55%,10.0551,136
臺北市內湖區,34.40%,65.59%,10.1116,137
臺東縣鹿野鄉,34.37%,65.62%,10.1541,138
屏東縣滿州鄉,48.74%,51.25%,10.1682,139
雲林縣斗南鎮,48.79%,51.20%,10.2389,140
高雄市前金區,49.04%,50.95%,10.5925,141
高雄市新興區,49.05%,50.94%,10.6066,142
苗栗縣竹南鎮,34.05%,65.94%,10.6066,143
雲林縣東勢鄉,49.15%,50.84%,10.748,144
臺北市中正區,33.73%,66.26%,11.0592,145
宜蘭縣蘇澳鎮,49.45%,50.54%,11.1723,146
基隆市中山區,33.63%,66.36%,11.2006,147
桃園縣觀音鄉,49.55%,50.44%,11.3137,148
南投縣國姓鄉,33.55%,66.44%,11.3137,149
臺南市新化區,49.69%,50.30%,11.5117,150
嘉義市西區,49.70%,50.29%,11.5258,151
臺北市信義區,33.36%,66.63%,11.5824,152
臺南市新營區,49.74%,50.25%,11.5824,153
南投縣名間鄉,49.78%,50.21%,11.639,154
彰化縣線西鄉,32.99%,67.00%,12.1057,155
宜蘭縣礁溪鄉,50.14%,49.85%,12.1481,156
桃園縣八德市,32.93%,67.06%,12.1905,157
屏東縣新埤鄉,50.20%,49.79%,12.2329,158
高雄市彌陀區,50.28%,49.71%,12.3461,159
嘉義縣水上鄉,50.39%,49.60%,12.5016,160
臺東縣卑南鄉,32.68%,67.31%,12.5441,161
高雄市三民區,50.63%,49.36%,12.8411,162
高雄市路竹區,50.63%,49.36%,12.8411,163
臺北市大同區,50.67%,49.32%,12.8976,164
桃園縣平鎮市,32.24%,67.75%,13.1663,165
新北市中和區,32.20%,67.79%,13.2229,166
臺南市中西區,50.91%,49.08%,13.237,167
高雄市鳥松區,51.20%,48.79%,13.6472,168
基隆市安樂區,31.83%,68.16%,13.7462,169
新竹縣新埔鎮,31.80%,68.19%,13.7886,170
雲林縣褒忠鄉,51.37%,48.62%,13.8876,171
屏東縣潮州鎮,51.40%,48.59%,13.93,172
嘉義縣中埔鄉,51.43%,48.56%,13.9724,173
澎湖縣湖西鄉,51.49%,48.50%,14.0573,174
基隆市中正區,31.59%,68.40%,14.0856,175
高雄市前鎮區,51.52%,48.47%,14.0997,176
雲林縣四湖鄉,51.65%,48.34%,14.2836,177
彰化縣竹塘鄉,51.67%,48.32%,14.3118,178
臺北市大安區,31.41%,68.58%,14.3401,179
高雄市永安區,51.73%,48.26%,14.3967,180
桃園縣楊梅鎮,31.29%,68.70%,14.5098,181
嘉義縣布袋鎮,51.91%,48.08%,14.6513,182
屏東縣長治鄉,51.93%,48.06%,14.6795,183
嘉義縣大林鎮,51.97%,48.02%,14.7361,184
臺東縣池上鄉,31.08%,68.91%,14.8068,185
屏東縣枋寮鄉,52.07%,47.92%,14.8775,186
嘉義縣民雄鄉,52.11%,47.88%,14.9341,187
新北市烏來區,30.94%,69.05%,15.0048,188
嘉義縣梅山鄉,52.16%,47.83%,15.0048,189
高雄市小港區,52.19%,47.80%,15.0472,190
新竹市東區,30.91%,69.08%,15.0472,191
嘉義縣番路鄉,52.24%,47.75%,15.1179,192
屏東縣琉球鄉,30.82%,69.17%,15.1745,193
桃園縣中壢市,30.81%,69.18%,15.1887,194
臺南市仁德區,52.31%,47.68%,15.2169,195
