town,vote_1,vote_2,vote_3,distance,rank
雲林縣林內鄉,24.924%,63.3952%,11.6808%,9.5748,151
臺南市安平區,24.2577%,62.9259%,12.8164%,9.6084,152
新竹市東區,35.3841%,48.1624%,16.4535%,9.7597,153
澎湖縣馬公市,31.4089%,49.0415%,19.5496%,9.7601,154
高雄市彌陀區,24.6772%,63.4696%,11.8532%,9.7712,155
屏東縣潮州鎮,26.5205%,64.0975%,9.382%,9.7992,156
桃園市平鎮區,36.0674%,48.2056%,15.7269%,9.8105,157
新北市石門區,39.0083%,51.3318%,9.6598%,9.8252,158
高雄市三民區,25.828%,64.0196%,10.1524%,9.8383,159
屏東縣鹽埔鄉,26.8055%,64.1939%,9.0005%,9.8925,160
新北市蘆洲區,24.9757%,63.8097%,11.2146%,9.9272,161
宜蘭縣蘇澳鎮,24.1113%,63.3259%,12.5628%,10.0004,162
彰化縣線西鄉,32.5189%,48.3368%,19.1443%,10.1247,163
基隆市安樂區,35.9191%,47.8723%,16.2086%,10.1576,164
高雄市內門區,25.5707%,64.3406%,10.0887%,10.2499,165
高雄市六龜區,25.1048%,64.3534%,10.5418%,10.4066,166
高雄市前鎮區,25.3694%,64.4838%,10.1468%,10.4576,167
新竹縣新埔鎮,31.9044%,48.1787%,19.9169%,10.6721,168
嘉義縣義竹鄉,26.0549%,64.9142%,9.0309%,10.8027,169
嘉義縣大林鎮,24.1408%,64.3835%,11.4757%,10.8511,170
桃園市楊梅區,35.8316%,47.2553%,16.913%,10.8688,171
彰化縣竹塘鄉,26.081%,65.0081%,8.9109%,10.91,172
基隆市中正區,35.8009%,47.2124%,16.9868%,10.9182,173
新竹縣峨眉鄉,35.7422%,47.0942%,17.1635%,11.0575,174
臺南市中西區,24.564%,64.9161%,10.5199%,11.1666,175
嘉義縣民雄鄉,23.7008%,64.6106%,11.6885%,11.2818,176
新竹縣竹北市,31.2956%,47.9861%,20.7182%,11.3266,177
雲林縣土庫鎮,23.2836%,64.3626%,12.3538%,11.3287,178
臺南市永康區,23.4264%,64.513%,12.0606%,11.3586,179
嘉義縣梅山鄉,23.4276%,64.6253%,11.9471%,11.4493,180
臺北市中正區,40.0071%,49.316%,10.6769%,11.4622,181
高雄市鹽埕區,25.2544%,65.4066%,9.339%,11.4879,182
高雄市鳥松區,24.722%,65.2972%,9.9808%,11.5027,183
嘉義縣番路鄉,22.9792%,64.6162%,12.4047%,11.7197,184
嘉義縣太保市,23.1523%,64.8015%,12.0462%,11.7565,185
嘉義縣朴子市,23.8789%,65.4454%,10.6757%,11.9553,186
臺北市松山區,40.539%,48.994%,10.467%,12.1096,187
桃園市中壢區,38.1428%,46.5297%,15.3274%,12.1906,188
臺北市信義區,40.5067%,48.654%,10.8393%,12.2214,189
彰化縣溪州鄉,23.0076%,65.3022%,11.6902%,12.2537,190
屏東縣長治鄉,25.8782%,66.1467%,7.9751%,12.2819,191
新北市中和區,40.0704%,47.8037%,12.1259%,12.2971,192
高雄市路竹區,23.2866%,65.6223%,11.0912%,12.3882,193
屏東縣新埤鄉,24.5899%,66.1912%,9.219%,12.4958,194
高雄市永安區,22.8803%,65.5231%,11.5967%,12.5118,195
新北市坪林區,25.2933%,66.5211%,8.1855%,12.7621,196
高雄市燕巢區,23.8884%,66.2633%,9.8483%,12.7664,197
高雄市旗山區,23.6652%,66.274%,10.0608%,12.8536,198
臺東縣鹿野鄉,38.7328%,46.0331%,15.2342%,12.9096,199
