town,ticket_1,vote_1,ticket_2,vote_2,ticket_3,vote_3,distance,rank
屏東縣內埔鄉,19736,59.70%,12652,38.27%,668,2.02%,19.3959,225
臺南市龍崎區,1702,59.42%,1079,37.67%,83,2.89%,19.6017,226
高雄市仁武區,26354,59.62%,16714,37.81%,1132,2.56%,19.645,227
高雄市茄萣區,10961,59.52%,6942,37.69%,512,2.78%,19.6576,228
宜蘭縣五結鄉,13568,59.79%,8613,37.95%,510,2.24%,19.6748,229
新北市永和區,44601,31.48%,92803,65.52%,4233,2.98%,19.8504,230
新北市坪林區,2400,59.98%,1512,37.79%,89,2.22%,19.9231,231
屏東縣萬丹鄉,19045,60.23%,12031,38.05%,541,1.71%,19.9466,232
嘉義縣朴子市,14676,60.15%,9131,37.42%,588,2.41%,20.2984,233
新北市新店區,56603,30.97%,120865,66.14%,5269,2.88%,20.648,234
新北市貢寮區,4806,60.47%,2960,37.24%,181,2.27%,20.6561,235
宜蘭縣冬山鄉,18495,60.53%,11320,37.04%,739,2.41%,20.8357,236
高雄市大社區,12410,60.43%,7575,36.89%,549,2.67%,20.867,237
新竹縣北埔鄉,1833,30.42%,3969,65.88%,222,3.68%,20.8832,238
臺南市歸仁區,23581,60.70%,14323,36.86%,944,2.42%,21.0829,239
苗栗縣公館鄉,6049,30.31%,13188,66.09%,717,3.59%,21.1034,240
臺北市文山區,49403,30.61%,107668,66.72%,4293,2.66%,21.3126,241
宜蘭縣三星鄉,7483,60.98%,4484,36.54%,304,2.47%,21.5061,242
花蓮縣壽豐鄉,2952,30.07%,6538,66.61%,325,3.31%,21.6267,243
臺南市安南區,62894,61.18%,37401,36.38%,2494,2.42%,21.7616,244
屏東縣東港鎮,16765,61.58%,10015,36.78%,443,1.62%,21.8022,245
臺南市關廟區,13714,61.23%,8124,36.27%,556,2.48%,21.8734,246
新竹縣芎林鄉,3737,29.75%,8382,66.74%,439,3.49%,21.9528,247
屏東縣南州鄉,4301,61.77%,2546,36.56%,115,1.65%,22.0892,248
高雄市阿蓮區,10942,61.55%,6416,36.09%,418,2.35%,22.23,249
屏東縣麟洛鄉,4520,61.74%,2657,36.29%,144,1.96%,22.2389,250
南投縣信義鄉,2478,29.89%,5589,67.42%,222,2.67%,22.3165,251
雲林縣北港鎮,14323,61.58%,8356,35.92%,578,2.48%,22.3684,252
屏東縣竹田鄉,7064,61.96%,4145,36.35%,191,1.67%,22.3701,253
臺南市左鎮區,1968,61.67%,1146,35.91%,77,2.41%,22.4406,254
嘉義縣鹿草鄉,6491,61.95%,3769,35.97%,217,2.07%,22.6079,255
雲林縣元長鄉,9320,61.94%,5401,35.89%,324,2.15%,22.6537,256
臺東縣關山鎮,1331,29.55%,3046,67.64%,126,2.79%,22.7123,257
高雄市梓官區,14308,61.94%,8208,35.53%,582,2.51%,22.8981,258
屏東縣林邊鄉,7514,62.50%,4340,36.10%,168,1.39%,22.9505,259
高雄市林園區,24478,62.12%,14045,35.64%,877,2.22%,22.955,260
高雄市大樹區,16733,62.20%,9581,35.61%,584,2.17%,23.0346,261
雲林縣西螺鎮,16216,62.27%,9289,35.67%,534,2.05%,23.0469,262
新竹縣湖口鄉,12402,29.03%,28891,67.62%,1428,3.34%,23.0768,263
澎湖縣七美鄉,301,26.73%,689,61.19%,136,12.07%,23.1485,264
苗栗縣大湖鄉,2571,29.01%,6000,67.72%,289,3.26%,23.1588,265
臺南市山上區,2893,62.42%,1652,35.64%,89,1.92%,23.1804,266
臺南市善化區,15975,62.50%,9007,35.23%,578,2.26%,23.5122,267
臺中市和平區,1627,28.10%,3905,67.44%,258,4.45%,23.6868,268
雲林縣莿桐鄉,10925,62.72%,6082,34.92%,409,2.34%,23.8844,269
高雄市橋頭區,14851,62.74%,8264,34.91%,552,2.33%,23.9059,270
屏東縣車城鄉,3115,62.95%,1739,35.14%,94,1.89%,23.9096,271
苗栗縣三義鄉,2985,28.61%,7139,68.42%,309,2.96%,23.9297,272
臺南市新市區,12811,62.95%,7086,34.82%,453,2.22%,24.1214,273
苗栗縣造橋鄉,2315,28.28%,5616,68.62%,253,3.09%,24.3066,274
臺南市佳里區,21721,63.06%,11921,34.61%,798,2.31%,24.3448,275
屏東縣崁頂鄉,5544,63.57%,3049,34.96%,127,1.45%,24.5041,276
花蓮縣吉安鄉,11812,27.68%,29230,68.51%,1618,3.79%,24.6822,277
高雄市旗津區,10854,63.51%,5903,34.54%,331,1.93%,24.727,278
花蓮縣富里鄉,1410,27.38%,3513,68.24%,225,4.37%,24.7496,279
臺南市東山區,7739,63.29%,4154,33.97%,333,2.72%,24.9538,280
花蓮縣鳳林鎮,1728,27.53%,4319,68.82%,228,3.63%,24.9979,281
屏東縣佳冬鄉,7887,64.07%,4238,34.43%,184,1.49%,25.2281,282
花蓮縣花蓮市,15264,27.32%,38513,68.93%,2090,3.74%,25.2299,283
屏東縣枋山鄉,2135,64.17%,1139,34.23%,53,1.59%,25.4326,284
花蓮縣瑞穗鄉,1616,27.33%,4103,69.40%,193,3.26%,25.5339,285
苗栗縣三灣鄉,1232,27.56%,3116,69.70%,122,2.72%,25.5761,286
屏東縣萬巒鄉,8222,64.62%,4304,33.82%,197,1.54%,26.043,287
臺南市安定區,11678,64.60%,6054,33.49%,344,1.90%,26.2407,288
苗栗縣獅潭鄉,803,26.99%,2088,70.18%,84,2.82%,26.3186,289
新竹縣橫山鄉,2288,26.26%,6064,69.60%,360,4.13%,26.4778,290
雲林縣口湖鄉,9673,64.51%,4946,32.98%,375,2.50%,26.5184,291
花蓮縣玉里鎮,3142,26.29%,8351,69.89%,455,3.80%,26.6391,292
屏東縣里港鄉,9882,64.98%,5043,33.16%,282,1.85%,26.7448,293
苗栗縣頭屋鄉,1908,26.61%,5060,70.59%,200,2.79%,26.8772,294
臺南市下營區,9866,65.15%,4999,33.01%,278,1.83%,26.9719,295
苗栗縣銅鑼鄉,2972,26.36%,7955,70.57%,345,3.06%,27.0423,296
臺南市柳營區,8593,65.02%,4283,32.41%,339,2.56%,27.2813,297
臺東縣東河鄉,1086,25.80%,2974,70.65%,149,3.54%,27.5089,298
臺南市六甲區,8786,65.41%,4335,32.27%,310,2.30%,27.6606,299
苗栗縣西湖鄉,1211,25.84%,3334,71.14%,141,3.00%,27.8121,300
苗栗縣頭份鎮,14321,25.64%,39774,71.21%,1752,3.13%,28.0052,301
臺南市北門區,4592,65.87%,2244,32.19%,135,1.93%,28.0552,302
臺南市白河區,11493,65.84%,5565,31.88%,396,2.26%,28.2413,303
苗栗縣苗栗市,13557,25.53%,37971,71.52%,1562,2.94%,28.2993,304
臺東縣大武鄉,713,25.22%,2029,71.77%,85,3.00%,28.6959,305
新竹縣竹東鎮,13356,24.94%,38332,71.58%,1859,3.47%,28.7712,306
臺南市大內區,4304,66.18%,2042,31.40%,157,2.41%,28.8178,307
臺東縣長濱鄉,835,25.17%,2393,72.14%,89,2.68%,28.9915,308
花蓮縣新城鄉,2557,24.49%,7453,71.40%,427,4.09%,28.995,309
屏東縣新園鄉,14941,66.83%,7085,31.69%,329,1.47%,29.1121,310
臺南市鹽水區,10248,66.50%,4810,31.21%,352,2.28%,29.1811,311
高雄市田寮區,3553,66.52%,1665,31.17%,123,2.30%,29.2231,312
嘉義縣六腳鄉,10265,66.47%,4770,30.89%,406,2.62%,29.3808,313
苗栗縣南庄鄉,1510,24.28%,4465,71.81%,242,3.89%,29.4201,314
